Opp K%,K Per Game,CSW%,Last 3 Average,Results
26.80%,4.9,0.29,6,7
26.80%,1,0.25,1,3
25.40%,4.3,0.28,5.666666667,8
24.90%,4.3,0.34,6.333333333,5
24.70%,2.2,0.35,3,4
24.70%,1.2,0.28,1.666666667,4
24.40%,4.7,0.28,4.666666667,3
24.30%,3.2,0.26,3.666666667,0
24.00%,7.6,0.32,7,8
24.00%,5.5,0.29,5.666666667,6
23.90%,4.6,0.28,4,2
23.70%,3.8,0.27,4,3
23.60%,4.8,0.29,6,9
23.60%,1.4,0.35,1,8
22.40%,3.8,0.25,2.333333333,2
22.30%,3.7,0.24,1.333333333,2
22.20%,3,0.26,3,4
22.00%,1,0.23,1,4
21.60%,4.6,0.28,3.333333333,4
21.40%,2.7,0.31,4.666666667,3
21.30%,4.1,0.28,3.666666667,9
21.20%,4.3,0.29,5.666666667,8
20.50%,3.4,0.28,4.333333333,3
20.40%,3.4,0.27,3.666666667,4
19.30%,3.3,0.27,0.6666666667,6
26.80%,5.5,30.3%,7.666666667,8
26.80%,5.3,29.9%,5.333333333,9
25.40%,3.4,28.0%,4,4
24.90%,5.8,28.3%,4,4
24.70%,3.9,25.2%,3,7
24.70%,2.7,24.6%,2.666666667,4
24.30%,5.8,31.5%,4.333333333,10
24.00%,6.8,30.1%,6.333333333,7
23.60%,5.4,28.9%,4.333333333,4
22.40%,5.8,28.3%,6,7
22.30%,4.8,27.0%,6.333333333,1
22.00%,5.2,26.8%,4,4
21.40%,6.9,32.7%,4.666666667,5
21.20%,5.1,29.8%,3.666666667,2
20.50%,5.6,28.7%,4,3
20.10%,4.5,27.6%,4,1
19.30%,5.7,28.7%,6,6
17.60%,5.7,29.8%,4,1
26.80%,3.9,27.3%,4,4
26.80%,4.9,27.7%,6.333333333,7
25.40%,3.3,29.3%,3.333333333,3
24.70%,3.4,25.4%,3,4
24.70%,2.3,23.9%,2.333333333,0
24.40%,4.4,27.1%,3.666666667,5
24.00%,3.1,24.3%,3,3
24.00%,5.8,30.2%,5,1
23.90%,4.4,27.5%,6,5
23.70%,4,26.0%,5.666666667,5
23.60%,5.7,28.7%,7.333333333,4
23.60%,3.5,26.2%,2.666666667,4
22.40%,5.9,30.2%,4.333333333,5
22.30%,5.8,30.1%,8.333333333,5
22.20%,4.7,27.5%,3.666666667,2
22.00%,4.4,30.0%,5.333333333,1
21.60%,6.4,30.6%,5.666666667,5
21.40%,4.6,29.0%,3,5
21.30%,5,25.9%,5.333333333,2
21.20%,5.7,28.2%,6.333333333,2
21.20%,4,26.7%,5,3
20.50%,5.1,28.2%,5.666666667,6
20.40%,4.8,29.5%,3,11
20.20%,5.5,29.1%,4,4
20.10%,6,28.6%,6.333333333,4
19.40%,4.9,27.3%,5,2
19.30%,4.1,26.3%,4.333333333,4
17.60%,6,30.7%,4.666666667,4
